"Proverbs 3:5-6 | Trust in the Lord with all thine heart; and lean not unto thine own understanding; in all thy ways acknowledge him, and he shall direct thy paths. "
"DoctrineandCovenants 130:18-19 | Whatever principle of intelligence we attain unto in this life, it will rise with us in the resurrection; and if a person gains more knowledge and intelligence in this life through his diligence and obedience than another, he will have so much the advantage in the world to come."
"1Nephi 3:7 | And it came to pass that I, Nephi, said unto my father: I will go and do the things which the Lord hath commanded, for I know that the Lord giveth no commandments unto the children of men, save he shall prepare a way for them that they may accomplish the thing which he commandeth them."
"Proverbs 22:6 |  Train up a child in the way he should go: and when he is old, he will not depart from it."
"Alma 13:2 | And those priests were ordained after the order of his Son, in a manner that thereby the people might know in what manner to look forward to his Son for redemption."
"DoctrineandCovenants 14:7 | And, if you keep my commandments and endure to the end you shall have eternal life, which gift is the greatest of all the gifts of God."
"ArticlesofFaith 1:3 | We believe that through the Atonement of Christ, all mankind may be saved, by obedience to the laws and ordinances of the Gospel."
"Amos 3:7 | Surely the Lord God will do nothing, but he revealeth his secret unto his servants the prophets."
